bib,name,team
18,Edoardo Zambanini,Team Bahrain Victorious
21,Filippo Magli,Bardiani–CSF 7 Saber
23,Luca Paletti,Bardiani–CSF 7 Saber
35,Oliver Naesen,Decathlon CMA CGM
37,Callum Scotson,Decathlon CMA CGM
47,Michael Valgren,EF Education–EasyPost
51,Rémi Cavagna,Groupama–FDJ United
54,Johan Jacobs,Groupama–FDJ United
61,Giulio Ciccone,Lidl–Trek
74,Milan Menten,Lidl–Trek
75,Lorenzo Rota,Lidl–Trek
76,Jonas Rutsch,Lidl–Trek
77,Liam Slock,Lidl–Trek
81,Enric Mas,Movistar Team
86,Nelson Oliveira,Movistar Team
91,Egan Arley Bernal,Netcompany INEOS
93,Filippo Ganna,Netcompany INEOS
94,Jack Haig,Netcompany INEOS
97,Connor Swift,Netcompany INEOS
103,Ryan William Mullen,NSN Cycling Team
104,Nicholas Schultz,NSN Cycling Team
113,David De La Cruz,Pinarello–Q36.5 Pro Cycling Team
114,Mark Donovan,Pinarello–Q36.5 Pro Cycling Team
118,Nickolas Zukowsky,Pinarello–Q36.5 Pro Cycling Team
121,Jai Hindley,Red Bull–Bora–Hansgrohe
123,Nico Denz,Red Bull–Bora–Hansgrohe
127,Aleksandr Vlasov,Red Bull–Bora–Hansgrohe
132,Ayco Bastiaens,Soudal–Quick-Step
135,Jasper Stuyven,Soudal–Quick-Step
143,Koen Bouwman,Team Jayco–AlUla
147,Christopher Juul-Jensen,Team Jayco–AlUla
151,Warren Barguil,Team Picnic–PostNL
154,Chris Hamilton,Team Picnic–PostNL
155,Gijs Leemreize,Team Picnic–PostNL
162,Ludovico Crescioli,Team Polti VisitMalta
164,Mirco Maestri,Team Polti VisitMalta
167,Diego Pablo Sevilla,Team Polti VisitMalta
173,Wilco Kelderman,Visma–Lease a Bike
177,Davide Piganzoli,Visma–Lease a Bike
181,Michael Storer,Tudor Pro Cycling Team
183,Robin Froidevaux,Tudor Pro Cycling Team
185,Luca Mozzato,Tudor Pro Cycling Team
187,Florian Stork,Tudor Pro Cycling Team
188,Lawrence Warbasse,Tudor Pro Cycling Team
191,Adam Yates,UAE Team Emirates XRG
196,Marc Soler,UAE Team Emirates XRG
201,Dylan Groenewegen,Unibet Rose Rockets
202,Hartthijs De Vries,Unibet Rose Rockets
206,Niklas Larsen,Unibet Rose Rockets
208,Elmar Reinders,Unibet Rose Rockets
215,Andreas Leknessund,Uno-X Mobility
223,Arjen Livyns,XDS Astana Team
228,Diego Ulissi,XDS Astana Team
