timestamp_unix,timestamp_utc,lat,lon,alt_ft,groundspeed_kt,type,isolated
1780222354,2026-05-31T10:12:34+00:00,45.654369,12.213666,725,255,,False
1780222359,2026-05-31T10:12:39+00:00,45.654739,12.218413,950,138,,False
1780222361,2026-05-31T10:12:41+00:00,45.654938,12.219978,1050,138,,False
1780222364,2026-05-31T10:12:44+00:00,45.655281,12.221372,1125,132,,False
1780222366,2026-05-31T10:12:46+00:00,45.655666,12.223528,1200,130,,False
1780222369,2026-05-31T10:12:49+00:00,45.656082,12.2253,1275,130,,False
1780222371,2026-05-31T10:12:51+00:00,45.656296,12.227408,1375,126,,False
1780222373,2026-05-31T10:12:53+00:00,45.656548,12.229946,1450,123,,False
1780222375,2026-05-31T10:12:55+00:00,45.656631,12.230995,1500,125,,False
1780222378,2026-05-31T10:12:58+00:00,45.657059,12.23347,1625,128,,False
1780222381,2026-05-31T10:13:01+00:00,45.657223,12.235335,1725,125,,False
1780222383,2026-05-31T10:13:03+00:00,45.65736,12.237207,1775,121,,False
1780222386,2026-05-31T10:13:06+00:00,45.657215,12.240133,1875,130,,False
1780222389,2026-05-31T10:13:09+00:00,45.657082,12.242149,2000,127,,False
1780222391,2026-05-31T10:13:11+00:00,45.656853,12.244033,2050,127,,False
1780222393,2026-05-31T10:13:13+00:00,45.656532,12.245943,2125,132,,False
1780222397,2026-05-31T10:13:17+00:00,45.655853,12.248969,2225,130,,False
1780222400,2026-05-31T10:13:20+00:00,45.654945,12.251632,2375,130,,False
1780222402,2026-05-31T10:13:22+00:00,45.654266,12.252735,2425,130,,False
1780222405,2026-05-31T10:13:25+00:00,45.653179,12.25485,2575,130,,False
1780222408,2026-05-31T10:13:28+00:00,45.651924,12.256639,2650,125,,False
1780222411,2026-05-31T10:13:31+00:00,45.650921,12.257874,2725,118,,False
1780222413,2026-05-31T10:13:33+00:00,45.649811,12.259003,2800,122,,False
1780222415,2026-05-31T10:13:35+00:00,45.648693,12.260081,2900,124,,False
1780222417,2026-05-31T10:13:37+00:00,45.647446,12.261013,2950,128,,False
1780222419,2026-05-31T10:13:39+00:00,45.646366,12.261766,3025,124,,False
1780222422,2026-05-31T10:13:42+00:00,45.645065,12.262341,3075,125,,False
1780222425,2026-05-31T10:13:45+00:00,45.643559,12.262801,3175,122,,False
1780222427,2026-05-31T10:13:47+00:00,45.642456,12.26317,3275,118,,False
1780222430,2026-05-31T10:13:50+00:00,45.639961,12.263131,3325,126,,False
1780222432,2026-05-31T10:13:52+00:00,45.63913,12.263066,3450,126,,False
1780222435,2026-05-31T10:13:55+00:00,45.637531,12.262733,3500,126,,False
1780222438,2026-05-31T10:13:58+00:00,45.63546,12.26195,3625,124,,False
1780222441,2026-05-31T10:14:01+00:00,45.634125,12.26123,3700,125,,False
1780222444,2026-05-31T10:14:04+00:00,45.63269,12.260317,3750,128,,False
1780222446,2026-05-31T10:14:06+00:00,45.631413,12.259363,3850,131,,False
1780222448,2026-05-31T10:14:08+00:00,45.630665,12.258318,3950,60,,False
1780222450,2026-05-31T10:14:10+00:00,45.629192,12.256737,4000,143,,False
1780222453,2026-05-31T10:14:13+00:00,45.628414,12.255713,4075,133,,False
1780222455,2026-05-31T10:14:15+00:00,45.627548,12.254269,4125,127,,False
1780222458,2026-05-31T10:14:18+00:00,45.626835,12.252758,4225,123,,False
1780222460,2026-05-31T10:14:20+00:00,45.625999,12.250871,4325,127,,False
1780222462,2026-05-31T10:14:22+00:00,45.625359,12.248896,4375,129,,False
1780222465,2026-05-31T10:14:25+00:00,45.624821,12.246914,4475,128,,False
1780222467,2026-05-31T10:14:27+00:00,45.624557,12.245001,4525,124,,False
1780222470,2026-05-31T10:14:30+00:00,45.624088,12.242815,4625,123,,False
1780222473,2026-05-31T10:14:33+00:00,45.624058,12.240835,4675,124,,False
1780222475,2026-05-31T10:14:35+00:00,45.624088,12.238521,4775,128,,False
1780222477,2026-05-31T10:14:37+00:00,45.624111,12.236384,4825,129,,False
1780222480,2026-05-31T10:14:40+00:00,45.62431,12.234833,4850,131,,False
1780222482,2026-05-31T10:14:42+00:00,45.624622,12.232674,4875,136,,False
1780222484,2026-05-31T10:14:44+00:00,45.625004,12.230685,4900,139,,False
1780222487,2026-05-31T10:14:47+00:00,45.625568,12.227756,4925,143,,False
1780222489,2026-05-31T10:14:49+00:00,45.626057,12.22552,4925,153,,False
1780222492,2026-05-31T10:14:52+00:00,45.626564,12.223053,4925,155,,False
1780222494,2026-05-31T10:14:54+00:00,45.627216,12.219915,4925,162,,False
1780222497,2026-05-31T10:14:57+00:00,45.627697,12.217649,4925,165,,False
1780222499,2026-05-31T10:14:59+00:00,45.62825,12.21517,4925,172,,False
1780222501,2026-05-31T10:15:01+00:00,45.628723,12.212623,4925,176,,False
1780222503,2026-05-31T10:15:03+00:00,45.629566,12.20903,4925,185,,False
1780222505,2026-05-31T10:15:05+00:00,45.629868,12.20766,4900,185,,False
1780222508,2026-05-31T10:15:08+00:00,45.63052,12.204412,4900,188,,False
1780222511,2026-05-31T10:15:11+00:00,45.631184,12.200931,4900,189,,False
1780222513,2026-05-31T10:15:13+00:00,45.631847,12.197894,4900,196,,False
1780222516,2026-05-31T10:15:16+00:00,45.632454,12.194885,4900,201,,False
1780222518,2026-05-31T10:15:18+00:00,45.633247,12.19142,4875,209,,False
1780222521,2026-05-31T10:15:21+00:00,45.634064,12.187565,4875,208,,False
1780222524,2026-05-31T10:15:24+00:00,45.634678,12.184894,4875,211,,False
1780222526,2026-05-31T10:15:26+00:00,45.635441,12.18129,4900,208,,False
1780222528,2026-05-31T10:15:28+00:00,45.636097,12.177804,4950,204,,False
1780222531,2026-05-31T10:15:31+00:00,45.636612,12.175316,5000,209,,False
1780222538,2026-05-31T10:15:38+00:00,45.637932,12.164601,5250,211,,False
1780222540,2026-05-31T10:15:40+00:00,45.637829,12.161335,5350,206,,False
1780222543,2026-05-31T10:15:43+00:00,45.637489,12.158973,5400,201,,False
1780222545,2026-05-31T10:15:45+00:00,45.63707,12.154988,5525,203,,False
1780222547,2026-05-31T10:15:47+00:00,45.636559,12.152408,5625,200,,False
