bib,rider_id,name,team_name,strava_athlete_url
1,B001,Elisa Longo Borghini,UAE Team ADQ,
2,B002,Alena Amialiusik,UAE Team ADQ,
3,B003,Mavi García,UAE Team ADQ,
4,B004,Eleonora Camilla Gasparrini,UAE Team ADQ,
5,B005,Lara Gillespie,UAE Team ADQ,
6,B006,Erica Magnaldi,UAE Team ADQ,
7,B007,Silvia Persico,UAE Team ADQ,
11,B011,Urška Žigart,AG Insurance - Soudal Team,
12,B012,Mireia Benito,AG Insurance - Soudal Team,
13,B013,Lore de Schepper,AG Insurance - Soudal Team,
14,B014,Justine Ghekiere,AG Insurance - Soudal Team,
15,B015,Ilse Pluimers,AG Insurance - Soudal Team,
16,B016,Julie van de Velde,AG Insurance - Soudal Team,
17,B017,Gladys Verhulst-Wild,AG Insurance - Soudal Team,
21,B021,Irene Affolati,Aromitalia Vaiano,
22,B022,Fanny Bonini,Aromitalia Vaiano,
23,B023,Maya Kingma,Aromitalia Vaiano,
24,B024,Eleonora la Bella,Aromitalia Vaiano,
25,B025,Argiro Milaki,Aromitalia Vaiano,
26,B026,Valentina Venerucci,Aromitalia Vaiano,
27,B027,Petra Zsankó,Aromitalia Vaiano,
31,B031,Antonia Niedermaier,CANYON//SRAM,
32,B032,Chiara Consonni,CANYON//SRAM,
33,B033,Justyna Czapla,CANYON//SRAM,
34,B034,Anastasiya Kolesava,CANYON//SRAM,
35,B035,Cecilie Uttrup Ludwig,CANYON//SRAM,
36,B036,Soraya Paladin,CANYON//SRAM,
37,B037,Maike van der Duin,CANYON//SRAM,
41,B041,Magdeleine Vallieres,EF Education-Oatly,
42,B042,Nina Berton,EF Education-Oatly,
43,B043,Kristen Faulkner,EF Education-Oatly,
44,B044,Stina Kagevi,EF Education-Oatly,
45,B045,Mirre Knaven,EF Education-Oatly,
46,B046,Alexis Magner,EF Education-Oatly,
47,B047,Alexandra Volstad,EF Education-Oatly,
51,B051,Demi Vollering,FDJ United - SUEZ,
52,B052,Célia Gery,FDJ United - SUEZ,
53,B053,Lauren Dickson,FDJ United - SUEZ,
54,B054,Vittoria Guazzini,FDJ United - SUEZ,
55,B055,Amber Kraak,FDJ United - SUEZ,
56,B056,Eva van AGT,FDJ United - SUEZ,
57,B057,Ally Wollaston,FDJ United - SUEZ,
61,B061,Charlotte Kool,Fenix-Premier Tech,
62,B062,Millie Couzens,Fenix-Premier Tech,
63,B063,Mylène de Zoete,Fenix-Premier Tech,
64,B064,Evy Kuijpers,Fenix-Premier Tech,
65,B065,Flora Perkins,Fenix-Premier Tech,
66,B066,Christina Schweinberger,Fenix-Premier Tech,
67,B067,Marthe Truyen,Fenix-Premier Tech,
71,B071,Barbara Malcotti,Human Powered Health,
72,B072,Nina Buijsman,Human Powered Health,
73,B073,Carlotta Cipressi,Human Powered Health,
74,B074,Maggie Coles-Lyster,Human Powered Health,
75,B075,Thalita de Jong,Human Powered Health,
76,B076,Marit Raaijmakers,Human Powered Health,
77,B077,Lily Williams,Human Powered Health,
81,B081,Anita Baima,Isolmant - Premac - Vittoria,
82,B082,Giulia Bisso,Isolmant - Premac - Vittoria,
83,B083,Lara Crestanello,Isolmant - Premac - Vittoria,
84,B084,Valeria Curnis,Isolmant - Premac - Vittoria,
85,B085,Chantal Pegolo,Isolmant - Premac - Vittoria,
86,B086,Martina Silvestri,Isolmant - Premac - Vittoria,
87,B087,Valentina Zanzi,Isolmant - Premac - Vittoria,
91,B091,Naia Amondarain,Laboral Kutxa - Fundación Euskadi,
92,B092,Yuliia Biriukova,Laboral Kutxa - Fundación Euskadi,
93,B093,Sara Fiorin,Laboral Kutxa - Fundación Euskadi,
94,B094,Tiril Jørgensen,Laboral Kutxa - Fundación Euskadi,
95,B095,Debora Silvestri,Laboral Kutxa - Fundación Euskadi,
96,B096,Cristina Tonetti,Laboral Kutxa - Fundación Euskadi,
97,B097,Marjolein van 'T Geloof,Laboral Kutxa - Fundación Euskadi,
101,B101,Niamh Fisher-Black,Lidl - Trek,
102,B102,Elisa Balsamo,Lidl - Trek,
103,B103,Lucinda Brand,Lidl - Trek,
104,B104,Isabella Holmgren,Lidl - Trek,
105,B105,Fleur Moors,Lidl - Trek,
106,B106,Amanda Spratt,Lidl - Trek,
107,B107,Shirin van Anrooij,Lidl - Trek,
111,B111,Monica Trinca Colonel,Liv AlUla Jayco,
112,B112,Caroline Andersson,Liv AlUla Jayco,
113,B113,Georgia Baker,Liv AlUla Jayco,
114,B114,Nadia Gontova,Liv AlUla Jayco,
115,B115,Silke Smulders,Liv AlUla Jayco,
116,B116,Quinty TON,Liv AlUla Jayco,
117,B117,Matilde Vitillo,Liv AlUla Jayco,
121,B121,Marlen Reusser,Movistar Team,
122,B122,Francesca Barale,Movistar Team,
123,B123,Aude Biannic,Movistar Team,
124,B124,Sheyla Gutiérrez,Movistar Team,
125,B125,Ana Vitória Magalhães,Movistar Team,
126,B126,Mareille Meijer,Movistar Team,
127,B127,Arlenis Sierra,Movistar Team,
131,B131,Clara Emond,St Michel - Preference Home - Auber93,
132,B132,Alicia González,St Michel - Preference Home - Auber93,
133,B133,Alison Jackson,St Michel - Preference Home - Auber93,
134,B134,Clémence Chereau,St Michel - Preference Home - Auber93,
135,B135,Émilie Morier,St Michel - Preference Home - Auber93,
136,B136,Solène Muller,St Michel - Preference Home - Auber93,
137,B137,Caroline Wreszin,St Michel - Preference Home - Auber93,
141,B141,Camilla Bezzone,Team Mendelspeck E-Work,
142,B142,Eleonora Deotto,Team Mendelspeck E-Work,
143,B143,Giulia Giuliani,Team Mendelspeck E-Work,
144,B144,Ilaria Marinetto,Team Mendelspeck E-Work,
145,B145,Katelyn Nicholson,Team Mendelspeck E-Work,
146,B146,Sara Segala,Team Mendelspeck E-Work,
147,B147,Giorgia Serena,Team Mendelspeck E-Work,
151,B151,Rachele Barbieri,Team Picnic PostNL,
152,B152,Robyn Clay,Team Picnic PostNL,
153,B153,Pfeiffer Georgi,Team Picnic PostNL,
154,B154,Gaia Masetti,Team Picnic PostNL,
155,B155,Josie Nelson,Team Picnic PostNL,
156,B156,Mara Roldan,Team Picnic PostNL,
157,B157,Becky Storrie,Team Picnic PostNL,
161,B161,Anna van der Breggen,Team SD Worx - Protime,
162,B162,Valentina Cavallar,Team SD Worx - Protime,
163,B163,Elena Cecchini,Team SD Worx - Protime,
164,B164,Femke Gerritse,Team SD Worx - Protime,
165,B165,Barbara Guarischi,Team SD Worx - Protime,
166,B166,Mikayla Harvey,Team SD Worx - Protime,
167,B167,Lorena Wiebes,Team SD Worx - Protime,
171,B171,Marion Bunel,Team Visma | Lease a Bike,
172,B172,Viktória Chladoňová,Team Visma | Lease a Bike,
173,B173,Femke de Vries,Team Visma | Lease a Bike,
174,B174,Daniek Hengeveld,Team Visma | Lease a Bike,
175,B175,Rosita Reijnhout,Team Visma | Lease a Bike,
176,B176,Nienke Veenhoven,Team Visma | Lease a Bike,
177,B177,Margaux Vigié,Team Visma | Lease a Bike,
181,B181,Elisa de Vallier,Top Girls Fassa Bortolo,
182,B182,Sara Luccon,Top Girls Fassa Bortolo,
183,B183,Marta Pavesi,Top Girls Fassa Bortolo,
184,B184,Chiara Reghini,Top Girls Fassa Bortolo,
185,B185,Irma Siri,Top Girls Fassa Bortolo,
186,B186,Sharon Spimi,Top Girls Fassa Bortolo,
187,B187,Alessia Zambelli,Top Girls Fassa Bortolo,
191,B191,Susanne Andersen,Uno-X Mobility,
192,B192,Teuntje Beekhuis,Uno-X Mobility,
193,B193,Marte Berg Edseth,Uno-X Mobility,
194,B194,Sigrid Ytterhus Haugset,Uno-X Mobility,
195,B195,Mie Bjørndal Ottestad,Uno-X Mobility,
